autores_tratados,Sexo Primeiro Autor (dic),Qtd Autores Feminino (dic),Qtd Autores Unknown (dic)
FELIPE CUNHA; RAMON SANTOS; MIRKO PERKUSICH; KYLLER GORGONIO; HYGGO ALMEIDA; ANGELO PERKUSICH; DANYLLO ALBUQUERQUE,M,0.0,4.0
ANDRE MEIRELES; RAINARA M. CARVALHO; THIAGO RIQUE; MARIZANGELA B. P. CAVALCANTE; MIRKO PERKUSICH; HYGGO ALMEIDA; ANGELO PERKUSICH,M,2.0,2.0
EMANUEL DANTAS; ADEMAR SOUSA; DANYLLO ALBUQUERQUE; LUIS HENRIQUE LIMA,M,0.0,1.0
DANYLLO ALBUQUERQUE; FERDINANDY CHAGAS; EVERTON GUIMARAES; GRAZIELA TONIN; MIRKO PERKUSICH; HYGGO ALMEIDA; ANGELO PERKUSICH,unknown,1.0,4.0
FELIPE CUNHA; THIAGO RIQUE; MIRKO PERKUSICH; KYLLER GORGONIO; HYGGO ALMEIDA; ANGELO PERKUSICH,M,0.0,3.0
FELIPE CUNHA; MIRKO PERKUSICH; HYGGO ALMEIDA; ANGELO PERKUSICH; KYLLER GORGONIO,M,0.0,3.0
ADEMAR SOUSA NETO; MIRKO PERKUSICH; EMANUEL DANTAS; FELIPE RAMOS; ALEXANDRE COSTA; HYGGO ALMEIDA; ANGELO PERKUSICH,M,0.0,2.0
ZEINAB RAHMANI; LUIS S. BARBOSA; ARMANDO N. PINTO,unknown,0.0,1.0
CARLOS DIEGO NASCIMENTO DAMASCENO; ISOTILIA COSTA MELO; DANIEL STRUBER,M,0.0,1.0
GABRIELLA COSTA; ELDANAE NOGUEIRA TEIXEIRA; CLAUDIA WERNER; REGINA BRAGA,F,3.0,1.0
JONAS S. GOMES; JOSE MARIA N. DAVID; REGINA BRAGA; WAGNER ARBEX; BRYAN BARBOSA; WNEITON LUIZ GOMES; LEONARDO M. GRAVINA FONSECA,M,1.0,1.0
NEIL SHAH; DHARMESHKUMAR M. AGRAWAL; NIRANAJAN PEDANEKAR,M,0.0,2.0
FLAVIO M. DE FARIAS; EYRE MONTEVECCHI; JOSE RAPHAEL BOKEHI; ROSIMERE F. SANTANA; DEBORA CHRISTINA MUCHALUAT-SAADE,M,2.0,1.0
JOAO GOMES; KENNEDY NUNES; LUIS RIVERO; DAVI VIANA; GERALDO BRAZ JUNIOR; JOAO ALMEIDA; VANDECIA FERNANDES; SIMARA ROCHA; ARISTOFANES SILVA,M,1.0,2.0
IULIANA MARIN; DORINA POPOVICI; FOTEINI GRIVOKOSTOPOULOU; CONSTANTINOS KOUTSOJANNIS,unknown,0.0,4.0
CELINE JOST; BRIGITTE LE PEVEDIC,F,1.0,1.0
RYAN WARD; SHAMMI RAHMAN; SOPHIE WUERGER; ALAN MARSHALL,M,1.0,1.0
CLEMENTINE HELFENSTEIN-DIDIER; AMIRA DHOUIB; FLORENT FAVRE; JONATHAN PASCAL; PATRICK BAERT,unknown,1.0,2.0
CELINE JOST; BRIGITTE LE PEVEDIC; GERARD UZAN,F,1.0,2.0
CELINE JOST; BRIGITTE LE PEVEDIC; JUSTIN DEBLOOS; GERARD UZAN,F,1.0,3.0
JORDANO R. CELESTRINI; ESTEVAO B. SALEME; NIALL MURRAY; RODRIGO V. ANDREAO; CELSO A. S. SANTOS,M,0.0,1.0
BELMIR DE JESUS JR.; MARILIA LOPES; MARC-ANTOINE MOINNEREAU; REZA A. GOUGEH; OLIVIER M. ROSANNE; WALTER SCHUBERT; ALCYR A. OLIVEIRA; TIAGO H. FALK,unknown,1.0,3.0
ALEXANDRA COVACI; ESTEVAO BISSOLI SALEME; CELINE JOST; JOEL DOS SANTOS; GHEORGHITA GHINEA,F,2.0,1.0
ALEXANDRA COVACI; ESTEVAO BISSOLI SALEME; GHEORGHITA GHINEA,F,1.0,1.0
RENAN GUARESE; FRANKLIN BASTIDAS; JOAO BECKER; MARIANE GIAMBASTIANI; YHONATAN IQUIAPAZA; LENNON MACEDO; LUCIANA NEDEL; ANDERSON MACIEL; FABIO ZAMBETTA; RON VAN SCHYNDEL,M,2.0,2.0
DICKSIANO C. MELO; MARCOS R. O. A. MAXIMO; ADILSON MARQUES DA CUNHA,unknown,0.0,1.0
FILIPE DWAN PEREIRA; HERMINO BARBOSA DE FREITAS JUNIOR; ELAINE HARADA TEIXEIRA DE OLIVEIRA; LEANDRO SILVA GALVAO DE CARVALHO; DAVID BRAGA FERNANDES DE OLIVEIRA; AILEEN BENEDICT; MOHSEN DORODCHI; ALEXANDRA IOANA CRISTEA,M,2.0,2.0
NECIO VERAS; LINCOLN ROCHA; WINDSON VIANA,unknown,0.0,1.0
LUIS FELIPE COSTA; CARLOS EDUARDO BARBOSA; YURI LIMA; LUCIANA NASCIMENTO; LARISSA GALENO; ANA MOURA SANTOS; GERALDO XEXEO; JANO MOREIRA DE SOUZA,M,3.0,1.0
CARLOS EDUARDO DA SILVA; WELKSON DE MEDEIROS; SILVIO SAMPAIO,M,0.0,1.0
BRENO FELIX DE SOUSA; GEISER CHALCO CHALLCO; MARCELO REIS; IG IBERT BITTENCOURT SANTANA; JESSICA FERNANDA SILVA BARBOSA; FRANCYS RAFAEL DO NASCIMENTO MARTINS; SEIJI ISOTANI,M,1.0,3.0
CRYSTIAM K. P. SILVA; SEAN W. M. SIQUEIRA; BERNARDO P. NUNES,unknown,0.0,1.0
DEIVID EIVE SILVA; MARIALINA CORREA SOBRINHO; NATASHA MALVEIRA VALENTIM,M,1.0,1.0
FRANCYS RAFAEL DO NASCIMENTO MARTINS; IG IBERT BITTENCOURT SANTANA PINTO; GEISER CHALCO CHALLCO; SEIJI ISOTANI; BRENO FELIX DE SOUSA; JESSICA FERNANDA SILVA BARBOSA; MARCELO REIS,unknown,1.0,3.0
TAMARA DALLEGRAVE; GABRIELA VASCONCELOS; GEOVANNE ALVES; WYLLIAMS SANTOS,F,2.0,1.0
DENIS LEITE; HIGOR SANTOS; ARIANE RODRIGUES; CLEVITON MONTEIRO; ALEXANDRE MACIEL,M,1.0,1.0
MAYKA DE SOUZA LIMA; RITA SUZANA PITANGUEIRA MACIEL,unknown,1.0,1.0
JAYR A. PEREIRA; JAYLTON A. PEREIRA; ROBSON DO N. FIDALGO,M,0.0,1.0
LUCAS MENDONCA DE SOUZA; IGOR MOREIRA FELIX; BERNARDO MARTINS FERREIRA; ANAROSA ALVES FRANCO BRANDAO; LEONIDAS DE OLIVEIRA BRANDAO,M,0.0,1.0
FRANCISCO DE ASSIS ZAMPIROLLI; FERNANDO TEUBL; GUIOU KOBAYASHI; ROGERIO NEVES; LUIZ ROZANTE; VALERIO RAMOS BATISTA,M,0.0,1.0
KAMILLA TENORIO; DIEGO DERMEVAL; GEISER CHALCO CHALLCO; BRUNO LEMOS; PEDRO NASCIMENTO; RODRIGO SANTOS; ALAN PEDRO DA SILVA,F,1.0,1.0
WILK OLIVEIRA; ARMANDO M. TODA; PAULA T. PALOMINO; LUIZ RODRIGUES; LEI SHI; SEIJI ISOTANI,M,1.0,1.0
YELCO MARANTE; VINICIUS ALBERTO ALVES DA SILVA; JORAO GOMES JR.; MARLUCE APARECIDA VITOR; ANDRE FERREIRA MARTINS; JAIRO FRANCISCO DE SOUZA,unknown,1.0,2.0
BRUNO ELIAS PENTEADO; SEIJI ISOTANI; IG IBERT BITTENCOURT; RAFAEL FERREIRA MELLO; IBSEN MATEUS BITTENCOURT,M,0.0,1.0
CLEON PEREIRA JUNIOR; CLARIVANDO FRANCISCO BELIZARIO JUNIOR; RAFAEL D. ARAUJO; FABIANO A. DORCA,M,0.0,1.0
FRANCISCO DE ASSIS ZAMPIROLLI; PAULO HENRIQUE PISANI; JOAO MARCELO JOSKO; GUIOU KOBAYASHI; FRANCISCO FRAGA; DENISE GOYA; HEITOR RODRIGUES SAVEGNAGO,M,1.0,1.0
MUCIO J. ALVES DE ANDRADE; CRISTIANO C. DE ARAUJO; GEBER L. RAMALHO,M,0.0,1.0
ADSON DAMASCENO; PAMELLA SOARES; ISMAYLE SANTOS; JERFFESON SOUZA; FRANCISCO OLIVEIRA,M,1.0,1.0
CLEON X. PEREIRA JUNIOR; HEDER FILHO S. SANTOS; LUIZ RODRIGUES; NEWARNEY T. COSTA,M,0.0,1.0
RAFAEL PACHECO; LUIZ RODRIGUES; LUCAS LINS; PERICLES MIRANDA; VALMIR MACARIO; SEIJI ISOTANI; THIAGO CORDEIRO; IG IBERT BITTENCOURT; DIEGO DERMEVAL; DRAGAN GASEVIC; RAFAEL FERREIRA MELLO,M,0.0,2.0
GEYCY D. O. LIMA; JULIETE A. R. COSTA; RAFAEL D. ARAUJO; FABIANO A. DORCA,unknown,1.0,1.0
CLARIVANDO F. BELIZARIO JUNIOR; FABIANO A. DORCA; LUCIANA ASSIS; ALESSANDRO VIVAS,unknown,1.0,1.0
WAGNER DE A. PERIN; DAVIDSOM CURY; CAMILA ZACCHE DE AGUIAR; CREDINE S. DE MENEZES,M,1.0,2.0
LUIZ RODRIGUES; GUILHERME GUERINO; GEISER CHALCO CHALLCO; THOMAZ EDSON VELOSO; LIVIA OLIVEIRA; RODOLFO SENA DA PENHA; RAFAEL FERREIRA MELO; THALES VIEIRA; MARCELO MARINHO; VALMIR MACARIO; IG IBERT BITTENCOURT; SEIJI ISOTANI; DIEGO DERMEVAL,M,1.0,2.0
ANDERSON PINHEIRO CAVALCANTI; VITOR BELARMINO ROLIM; DRAGAN GASEVIC; RAFAEL FERREIRA MELLO,M,0.0,1.0
DOUGLAS LUSA KRUG; REUEL J. KULIBABA; DENIS A. LINZMEYER; CHRYSTALLA MOUZA; DAVID C. SHEPHERD,M,0.0,1.0
DANILO MEDEIROS DANTAS; JUCELIO SOARES DOS SANTOS; KEZIA DE VASCONCELOS OLIVEIRA DANTAS; WILKERSON L. ANDRADE; JOAO BRUNET; MONILLY RAMOS ARAUJO MELO,M,1.0,1.0
ALLAN KASSIO BECKMAN SOARES DA CRUZ; CARLOS DE SALLES SOARES NETO; MARIO MEIRELES TEIXEIRA; PAMELA TORRES MAIA BECKMAN DA CRUZ; KLEYDSON BECKMAN BARBOSA; CLAUDINY PRISCILA LOPES BRITO,M,1.0,2.0
THYAGO TENORIO; LUIZ RODRIGUES; SEIJI ISOTANI; IG IBERT BITTENCOURT,M,0.0,1.0
TACIANA PONTUAL FALCAO; VERENNA OLIVEIRA; SAMUEL SOUZA; GIUSEPPE FIORENTINO; JOSE RODRIGUES NETO; JOAO VICTOR GALDINO; GABRIEL ALVES; RAFAEL FERREIRA MELLO,F,1.0,1.0
YUSSELI LIZETH MENDEZ MENDOZA; EMANUEL FELIPE DUARTE; M. CECILIA C. BARANAUSKAS,unknown,0.0,2.0
DEIVID EIVE DOS S. SILVA; MARIALINA CORREA SOBRINHO; NATASHA MALVEIRA C. VALENTIM,M,1.0,1.0
EMANUEL FELIPE DUARTE; VANESSA MAIKE; YUSSELI LIZETH MENDEZ MENDOZA; CAMILLA BRENNAND; M. CECILIA BARANAUSKAS,M,2.0,2.0
MARLENY LUQUE CARBAJAL; M. CECILIA BARANAUSKAS,unknown,0.0,2.0
VALDNEIDE ALMEIDA; ALEX SANDRO GOMES; ALINA SPINILO; JULIANA SARAIVA,unknown,2.0,1.0
FLAVIO NICASTRO; M. CECILIA BARANAUSKAS; RICARDO TORRES,M,0.0,1.0
THIAGO DINIZ FERREIRA; JUCELIO SOARES DOS SANTOS; ROSANGELA DE ARAUJO MEDEIROS; WILKERSON L. ANDRADE; JOAO BRUNET; MONILLY RAMOS ARAUJO MELO,M,1.0,1.0
JUVANE NUNES MARCIANO; ERICA ESTEVES CUNHA DE MIRANDA; LEONARDO CUNHA DE MIRANDA,unknown,1.0,1.0
ILMA RODRIGUES DE SOUZA FAUSTO; FABIANA RODRIGUES LETA; RUTH MARIA MARIANI BRAZ; LUEMY AVILA SANTOS SILVA; EDIVANIA FLORO NICACIO ALMEIDA,F,4.0,1.0
EMANUEL FELIPE DUARTE; VANESSA MAIKE; M. CECILIA BARANAUSKAS,M,1.0,1.0
YUSSELI LIZETH MENDEZ MENDOZA; M. CECILIA BARANAUSKAS,unknown,0.0,2.0
GARRENLUS DE SOUZA; SERGIO BAMPI; BRUNO ZATT; FELIPE SAMPAIO,unknown,0.0,1.0
FAVERO GUILHERME SANTOS; ANDRE AUGUSTO MARIANO; BERNARDO LEITE,unknown,0.0,1.0
IACANA WEBER; LEONARDO DE OLIVEIRA; EVERTON CARARA; FERNANDO MORAES,unknown,0.0,1.0
JOAO NAVARRO; MAXIMILIAM LUPPE,M,0.0,1.0
DUARTE OLIVEIRA; GABRIEL DUARTE; NICOLLY CARDOSO; GRACIETH BATISTA,M,1.0,1.0
WILLIAM SOUZA DA CRUZ; JEAN-MAX DUTERTRE; JEAN-BAPTISTE RIGAUD; GUILLAUME HUBERT,M,0.0,3.0
FELIPE SILVA; ADAHIL MUNIZ; JARBAS SILVEIRA; CESAR MARCON,M,0.0,1.0
NAGILA RIBEIRO DE MENEZES; HUGO DANIEL HERNANDEZ; DIONISIO CARVALHO; WILHELMUS VAN NOIJE,F,1.0,1.0
VASSILIS ALIMISIS; GEORGIOS PAPPAS; PAUL SOTIRIADIS,unknown,0.0,2.0
GUILHERME T. T. BERNARDO; LUAN M. B. VOGAS; SARGON D. S. RODRIGUES; THIAGO G. G. LOPES; CESAR A. C. MARCONDES; DENIS S. LOUBACH; ELTON F. SBRUZZI; FILIPE A. N. VERRI; JOHNNY C. MARQUES; LOURENCO A. PEREIRA; MARCOS R. O. A. MAXIMO; VITOR V. CURTIS,M,0.0,1.0
ALICE GARCIA; ANDRE KELBOUSCAS; SIBYLA V. E SILVA; LEONARDO GUIMARAES; VINICIUS DE OLIVEIRA,F,1.0,1.0
JOAO MARINS; TAUA CABREIRA; KRISTOFER KAPPEL; PAULO FERREIRA,M,0.0,1.0
WERTHER SERRALHEIRO,unknown,0.0,1.0
OSCAR MAYZ; CARLOS SANOJA; NOVEL CERTAD,M,0.0,1.0
ADRIEN DURAND-PETITEVILLE; VIVIANE CADENAT,unknown,1.0,1.0
THARCIO THALLES SILVA; ALEXSANDRA ANDRADE; NATALIA DA SILVA,unknown,2.0,1.0
RHAIAN BARROS; JORGE SILVA FILHO; JOAO S. NETO; TIAGO NASCIMENTO,unknown,0.0,1.0
OSCAR KREMER; MAURO CUNHA; FABIANO MORAES; STHEFANO SCHIAVON,M,0.0,1.0
DICKSIANO MELO; MARCOS MAXIMO; ADILSON DA CUNHA,unknown,0.0,1.0
DIEISSON MARTINELLI; JONATHAN CERBARO; JOAO ALBERTO FABRO; ANDRE DE OLIVEIRA; MARCO ANTONIO TEIXEIRA,unknown,0.0,1.0
JONATHAN CERBARO; DIEISSON MARTINELLI; ANDRE DE OLIVEIRA; JOAO ALBERTO FABRO,M,0.0,1.0
ALEXSANDRA ANDRADE; THARCIO SILVA; IAGO GOMES; LUIZ GONCALVES,F,1.0,1.0
DIEISSON MARTINELLI; ALEX SOUSA; MARIO AUGUSTO; VIVIAN KALEMPA; ANDRE OLIVEIRA; RONNIER ROHRICH; MARCO TEIXEIRA,unknown,1.0,2.0
NIGEL DIAS; GUSTAVO LAUREANO,unknown,0.0,1.0
DICKSIANO MELO; CARLOS FORSTER; MARCOS MAXIMO,unknown,0.0,1.0
LUCKECIANO MELO; MARCOS MAXIMO,unknown,0.0,1.0
IGOR LOPES; SAMAHERNI DIAS; KURIOS QUEIROZ,M,0.0,2.0
ISADORA FERRAO; SHERLON DA SILVA; DANIEL PIGATTO; KALINKA BRANCO,F,2.0,1.0
RICARDO GRANDO; PEDRO PINHEIRO; NICOLAS BORTOLUZZI; CESAR DA SILVA; OTAVIO ZAUK; MARIANA PINEIRO; VIVIAN AOKI; ANDRE L. KELBOUSCAS; YLANNA LIMA; PAULO DREWS-JR; ARMANDO A. NETO,M,2.0,1.0
JOAO G. MELO; FELIPE MARTINS; LUCAS CAVALCANTI; ROBERTO FERNANDES; VICTOR ARAUJO; RIEI JOAQUIM; JOAO G. MONTEIRO; EDNA BARROS,M,1.0,1.0
K. C. T. VIVALDINI; M. BECKER,unknown,0.0,2.0
JULIO MELO; MELQUIADES FIDELIS; SIDNEY ALVES; ULISSES FREITAS; RUMMENIGGE DANTAS,M,0.0,1.0
MILENA MONTEIRO; MARIA VERONICA GONZALEZ; AKYNARA AGLAE BURLAMAQUI; AQUILES BURLAMAQUI,F,2.0,1.0
CARLA FERNANDES; ORIVALDO S. JUNIOR; DENILTON OLIVEIRA; LUCIANE GARCIA; AQUILES BURLAMAQUI; JULIO MELO; SARAH SA; ALLYSON SOARES; ANDERSON SOUZA; DENNIS BARRIOS-ARANIBAR; RAQUEL PATINO-ESCARCINA; JOAO FABRO; AKYNARA BURLAMAQUI; SAMUEL AZEVEDO; EDILSON KATO; ROBERTO INOUE; ANDRE HERNANDES; TATIANA PAZELLI; OSMAR OGASHAWARA; LUIS ARAUJO; JOAO FONTES; ALESSANDRA HAI; KELEN VIVALDINI; VANIA NERIS; LUCIANO NERIS; RAFAEL AROCA; PABLO ALSINA; LUIZ GONCALVES,F,8.0,1.0
JULIANO VACARO; GUILHERME MARQUES; BRUNA OLIVEIRA; GABRIEL PAZ; THOMAS PAULA; WAGSTON STAEHLER; DAVID MURPHY,M,1.0,1.0
LUIS NASCIMENTO; DANIEL MORAIS; DENNIS BARRIOS-ARANIBAR; VITOR SANTOS; DIEGO PEREIRA; PABLO ALSINA; ADELARDO MEDEIROS,M,0.0,1.0
PATRICK VARGAS; KRISTOFER KAPPEL; JOAO MARINS; TAUA CABREIRA; PAULO FERREIRA,M,0.0,1.0
ERICK MOREIRA; JAUVANE OLIVEIRA; PAULO ROSA,M,0.0,1.0
GUILLERMO AMORIN; FACUNDO BENAVIDES; EDUARDO GRMAPIN,M,0.0,1.0
CRISCILLA REZENDE; ANA CAROLINA INOCENCIO; THIAGO OLIVEIRA; ANA PAULA BOAVENTURA,unknown,2.0,1.0
AMJAD NUSAYR; ROGERIO SILVA,unknown,0.0,1.0
ENZA VICTAL; ALEX CANDIDO,unknown,0.0,1.0
ALMIR JUNIOR; JOAO NETO; ELLOA GUEDES,M,0.0,1.0
MARIO MINAMI; MARCO GOMES; RICARDO SUYAMA; ALINE PANAZIO; ANDRE TAKAHATA; CELSO KURASHIMA; FERNANDO MOURA; JOAO KLEINSCHMIDT; LUNEQUEL JUNIOR,M,1.0,1.0
DIEISSON MARTINELLI; ALEX SOUSA; MARIO AUGUSTO; VIVIAN KALEMPA; ANDRE OLIVEIRA; MARCO TEIXEIRA,unknown,1.0,1.0
THABATTA MOREIRA ALVES DE ARAUJO; ANDERSON RIBEIRO DE OLIVEIRA SANTOS SILVA; ALISSON MARQUES DA SILVA; EDUARDO HABIB BECHELANE MAIA; MICHEL PIRES DA SILVA,unknown,0.0,1.0
AYLANE SANTOS PEREIRA; MERCIANA GONCALVES PEREIRA MOURA; LUIZ MARCOS GARCIA GONCALVES; CARLA DA COSTA FERNANDES CURVELO,unknown,1.0,2.0
JESSICA M. PEREIRA; RUANA M. S. OLIVEIRA; SAMARA C. F. ANDRADE; THAYMARA C. S. ROMULO; SILVANA C. SANTOS; REJANE W. S. C. FARIA; ALEXANDRE S. BRANDAO,F,5.0,1.0
THAUANNE SANTANA FONSECA VALENCA; ELYSON ADAN NUNES CARVALHO; EDUARDO OLIVEIRA FREIRE; LUCAS MOLINA; JOSE GILMAR NUNES DE CARVALHO FILHO,unknown,0.0,2.0
MERCIANA GONCALVES PEREIRA MOURA; AYLANE SANTOS PEREIRA; LUIZ MARCOS GARCIA GONCALVES; CARLA DA COSTA FERNANDES CURVELO,unknown,1.0,2.0
BEATRIZ DE SIQUEIRA MACIEL; LUKAS ARAUJO DA SILVA; JAMILE SARDINHA PASSOS; JWLYAH DE SOUSA SILVA; ROBERTO DE SOUZA BAPTISTA,F,2.0,1.0
LUAN MATHEUS TRINDADE DALMAZO; GABRIEL N. HISHIDA; ALLAN CEDRIC GOUVEA BRUGLIMANN ALVES DA SILVA; TIAGO SERIQUE VALADARES; RIAN MARCOS SEPULVEDA; SEIJIRO YANAGIYA MIDZUNO; KETLYN DOS SANTOS; EDUARDO TODT,M,1.0,1.0
M. A. PASTRANA; J. BAUTISTA; JOSE MENDOZA-PENALOZA; L. H. OLIVEIRA; D. A. MENDES; DANIEL M. MUNOZ,unknown,0.0,4.0
ANDRE O. FRANCANI; R. O. A. MARCOS MAXIMO,M,0.0,1.0
KRISTOFER KAPPEL; PAULO R. FERREIRA,unknown,0.0,1.0
JOSE MONTES; TROY COSTA KOHWALTER; ESTEBAN CLUA,M,0.0,1.0
MARCUS VINICIUS O. PACHECO; FELIPE O. SILVA; JAY A. FARRELL,M,0.0,1.0
V. CADENAT; A. DURAND-PETITEVILLE; D. BILLOT; A. VILLEMAZET,unknown,0.0,4.0
ANGELLO DE MELLO GAI; SOLON BEVILACQUA; ANSELMO RAFAEL CUKLA; DANIEL FERNANDO TELLO GAMARRA,unknown,0.0,1.0
MARCUS SANTOS; MADIEL CONSERVA FILHO; AUGUSTO SAMPAIO,M,0.0,1.0
DANIEL AUGUSTO SANTOS FRANCO; ELYSON ADAN NUNES CARVALHO; JOSE GILMAR NUNES DE CARVALHO FILHO; LUCAS MOLINA; EDUARDO OLIVEIRA FREIRE,M,0.0,1.0
M. A. PASTRANA; L. H. OLIVEIRA; M. S. SANTANA; V. C. OLIVEIRA; JOSE MENDOZA-PENALOZA; DANIEL M. MUNOZ,unknown,0.0,4.0
LUIS C. NOVAES; VICTOR S. MATOS; J. V. MENDES; MARCELLA SANTOS; LUCAS C. SILVA,M,1.0,1.0
MATHEUS M. SANTOS; PEDRO M. PINHEIRO; IGOR MAURELL; LUCIANE SOARES; JE NAM-JR; PEDRO E. NUNES; EDUARDO EVANGELISTA; VINICIUS V. MAURENTE; CEDENIR B. COSTA; EDUARDO N. BORGES; EDER M. N. GONCALVES; MARCELO PIAS; NELSON DUARTE FILHO; VITOR GERVINI; PAULO DREWS-JR; SILVIA S. C. BOTELHO,M,2.0,1.0
KEVIN B. DE CARVALHO; O. B. HIAGO BATISTA; LEONARDO A. FAGUNDES-JUNIOR; ALEXANDRE S. BRANDAO,M,0.0,1.0
C. S. THAYMARA ROMULO; LUCAS P. BOSCATTI; W. S. C. REJANE FARIA; ALEXANDRE S. BRANDAO,unknown,0.0,2.0
MAXIMILIAN KUNZ; AXEL VIERLING; PATRICK WOLF; KARSTEN BERNS,M,0.0,1.0
ARTURO BATISTUTE; EDVALDO SANTOS; KARAM TAKIEDDINE; PEDRO MACHADO LAZARI; LIDIA GIANE DA ROCHA; KELEN CRISTIANE TEIXEIRA VIVALDINI,M,2.0,1.0
CARLOS PENA; MATEUS MACHADO; MARIANA BARROS; JOSE SILVA; LUCAS MACIEL; TSANG REN; EDNA BARROS; PEDRO BRAGA; HANSENCLEVER BASSANI,M,2.0,2.0
LUIZ GIACOMOSSI; FLAVIO SOUZA; RAPHAEL GOMES CORTES; HUASCAR MIRKO MONTECINOS CORTEZ; CAUE FERREIRA; CESAR A. C. MARCONDES; DENIS S. LOUBACH; ELTON F. SBRUZZI; FILIPE A. N. VERRI; JOHNNY C. MARQUES; LOURENCO A. PEREIRA; MARCOS R. O. A. MAXIMO; VITOR V. CURTIS,M,0.0,1.0
LUIZ GIACOMOSSI; STIVEN SCHWANZ DIAS; JOSE FERNANDO BRANCALION; MARCOS R. O. A. MAXIMO,M,0.0,1.0
MARIA CORNEJO-LUPA; DENNIS BARRIOS-ARANIBAR; YUDITH CARDINALE; REGINA TICONA-HERRERA; MANOEL ANDRADE; JOSE DIAZ-AMADO,F,2.0,1.0
CARLOS-ERNESTO VAZQUEZ-GARCIA; CHRISTIAN-ALEJANDRO TREJO-RAMOS; VICENTE PARRA-VEGA; ERNESTO OLGUIN-DIAZ,unknown,0.0,2.0
CHRISTIAN-ALEJANDRO TREJO-RAMOS; ERNESTO OLGUIN-DIAZ; VICENTE PARRA-VEGA; CARLOS-ERNESTO VAZQUEZ-GARCIA,unknown,0.0,2.0
DUNFREY PIRES ARAGAO; TIAGO NASCIMENTO,unknown,0.0,1.0
KESSE JONATAS DE JESUS; HENRY JULIO KOBS; ANSELMO RAFAEL CUKLA; MARCO ANTONIO DE SOUZA LEITE CUADROS; DANIEL FERNANDO TELLO GAMARRA,unknown,0.0,1.0
KEVIN INOFUENTE-COLQUE; SERGIO FERREIRA-ANDRADE; DENNIS BARRIOS-ARANIBAR; YUDITH CARDINALE; JOSE DIAZ-AMADO,M,0.0,1.0
FIGUEROA-SAIRE PEDRO; PATINO-ESCARCINA RAQUEL,unknown,0.0,2.0
VICTOR ARAUJO; EDGLEYSON SILVA; JOAO GUILHERME MONTEIRO; REBECCA SOUSA; CECILIA SILVA; PEDRO HENRIQUE SANTANA; EDNA BARROS,M,3.0,1.0
LETIERI RODRIGUES DE AVILA; SILVIA SILVA DA COSTA BOTELHO; MARCELO RITA PIAS; BRUNA DE VARGAS GUTERRES; JE NAM JUN JUNIOR,unknown,2.0,2.0
FELIPE FABRICIO; ANDRE SCHNEIDER DE OLIVEIRA; A. S. MARCO TEIXEIRA,M,0.0,1.0
LARA TOLEDO CORDEIRO OTTONI; JES DE JESUS FIAIS CERQUEIRA,F,1.0,1.0
PIATAN PALAR; ANDRE OLIVEIRA; VINICIUS TERRES; JULIO RAMOS,unknown,0.0,1.0
JOAO G. MELO; LUCAS CAVALCANTI; RIEI JOAQUIM; VICTOR ARAUJO; EDNA BARROS,M,1.0,1.0
ADRIEL F. L. A. DA SILVA; MARCONDES R. DA SILVA JUNIOR; ALUIZIO F. R. ARAUJO; ADRIEN DURAND-PETITEVILLE,M,0.0,1.0
MYRELLA BORDADO; DIMITRIA SILVERIA; GUSTAVO LAUREANO,F,1.0,1.0
FILIPE LINS; ORCILANO LUZ; ADELARDO MEDEIROS; PABLO ALSINA,M,0.0,2.0
WANDERCLEI DA CRUZ SILVA; ALMIR DE OLIVEIRA COSTA,unknown,0.0,1.0
KEFTON DAVID NUNES DE MELO; CLAYTON CARLOS SANTOS COSTA; THALIA KATIANE SAMPAIO GURGEL; SEBASTIAO EMIDIO ALVES FILHO,unknown,1.0,1.0
JAQUELINY S. S. TEIXEIRA; LARYSSA O. CANESCHI; CELSO O. BARCELOS; LEONARDO A. FAGUNDES; HIAGO O. B. BATISTA; WERIKSON F. O. ALVES; BEATRIZ M. MIRANDA; SILVANA C. DOS SANTOS; ALEXANDRE S. BRANDAO,unknown,3.0,2.0
M. A. PASTRANA; KARINE R. SANTOS; ALCEU B. C. DE FARIAS; DANIEL M. MUNOZ,unknown,1.0,1.0
ALMIR DE OLIVEIRA COSTA JUNIOR; JOAO PAULO FELIZARDO LIMA E SILVA; JOSE ANGLADA RIVERA; ELLOA B. GUEDES,M,0.0,1.0
LEONARDO BONACINI; HANDEL EMANUEL NATIVIDADE PERES; VITOR AKIHIRO HIGUTI; VIVIAN SUZANO MEDEIROS; MARCELO BECKER; MARIO LUIZ TRONCO,M,1.0,1.0
PIATAN SFAIR PALAR; JONATHAN CERBARO; ANDRE SCHNEIDER DE OLIVEIRA; JOAO ALBERTO FABRO,unknown,0.0,1.0
MARIA VICTORIA DIAZ; SERGIO ROBAUDO; MERCEDES MARZOA; FACUNDO BENAVIDES,F,2.0,1.0
A. DURAND-PETITEVILLE; V. CADENAT; T. SENTENAC,unknown,0.0,3.0
A. B. H. LUIZ; S. E. EBRAHIM; R. P. EDSON,unknown,0.0,3.0
JOAO P. LIMA; ANNE C. ROCHA; ALEXANDRE ARRUDA; DMONTIER JR.,M,1.0,1.0
FRANCESC ESTEVA; ALDO FIGALLO ORELLANO; TOMMASO FLAMINIO; LLUIS GODO,unknown,0.0,3.0
