Event,Ano,Total_Autoras,Total_Autores_Masculinos,Primeiras_Autoras,Total_Autores,Primeiros_Autores_Masculinos,Total_Artigos,Proporcao_Autoras,Proporcao_Primeiras_Autoras,Media_Autoras_Lideranca_Feminina,Media_Autoras_Lideranca_Masculina
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2024,0000",5,31,1,37,8,9,"0,1351","0,1111","1,0000","0,5000"
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2025,0000",3,38,1,41,7,8,"0,0732","0,1250","1,0000","0,2857"
PROCEEDINGS OF THE WORKSHOP ON HCI EDUCATION (WEIHC),"2022,0000",3,6,1,9,2,3,"0,3333","0,3333","1,0000","1,0000"
PROCEEDINGS OF THE WORKSHOP ON INFORMATION SYSTEMS (WSIS),"2024,0000",25,87,7,112,24,31,"0,2232","0,2258","1,4286","0,6250"
PROCEEDINGS OF THE WORKSHOP ON INFORMATION SYSTEMS (WSIS),"2025,0000",32,66,8,109,21,29,"0,2936","0,2759","2,6250","0,5238"
PROCEEDINGS OF THE WORKSHOP ON INTERACTION AND USER RESEARCH IN GAME DEVELOPMENT (WIPLAY),"2019,0000",3,4,0,7,2,2,"0,4286","0,0000",,"1,5000"
PROCEEDINGS OF THE WORKSHOP ON INTERACTION AND USER RESEARCH IN GAME DEVELOPMENT (WIPLAY),"2023,0000",13,14,2,27,4,6,"0,4815","0,3333","3,0000","1,7500"
PROCEEDINGS OF THE WORKSHOP ON INTERACTION AND USER RESEARCH IN GAME DEVELOPMENT (WIPLAY),"2024,0000",12,22,4,35,4,8,"0,3429","0,5000","2,7500","0,2500"
PROCEEDINGS OF THE WORKSHOP ON INTERACTIONS WITH DATA EXPERIENCES (WIDE),"2022,0000",10,5,2,15,2,4,"0,6667","0,5000","3,5000","1,5000"
PROCEEDINGS OF THE WORKSHOP ON INTERACTIONS WITH DATA EXPERIENCES (WIDE),"2023,0000",24,27,8,51,3,11,"0,4706","0,7273","2,6250","1,0000"
PROCEEDINGS OF THE WORKSHOP ON INTERACTIONS WITH DATA EXPERIENCES (WIDE),"2024,0000",15,16,3,32,5,8,"0,4688","0,3750","2,6667","1,4000"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2017,0000",4,46,0,50,12,12,"0,0800","0,0000",,"0,3333"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2018,0000",4,57,0,65,14,14,"0,0615","0,0000",,"0,2857"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2019,0000",0,7,0,8,2,2,"0,0000","0,0000",,"0,0000"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2020,0000",8,47,0,58,17,17,"0,1379","0,0000",,"0,4706"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2021,0000",4,47,0,52,12,12,"0,0769","0,0000",,"0,3333"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2022,0000",4,36,1,42,11,12,"0,0952","0,0833","1,0000","0,2727"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2023,0000",6,40,0,47,12,12,"0,1277","0,0000",,"0,5000"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2024,0000",8,65,2,73,14,16,"0,1096","0,1250","2,0000","0,2857"
PROCEEDINGS OF THE WORKSHOP ON MANAGEMENT AND OPERATION OF NETWORKS AND SERVICE (WGRS),"2025,0000",11,54,3,71,10,13,"0,1549","0,2308","1,6667","0,6000"
PROCEEDINGS OF THE WORKSHOP ON MODELING AND SIMULATION OF SOFTWARE-INTENSIVE SYSTEMS (MSSIS),"2019,0000",5,15,0,21,5,5,"0,2381","0,0000",,"1,0000"
PROCEEDINGS OF THE WORKSHOP ON MODELING AND SIMULATION OF SOFTWARE-INTENSIVE SYSTEMS (MSSIS),"2020,0000",4,10,2,15,4,6,"0,2667","0,3333","1,0000","0,5000"
PROCEEDINGS OF THE WORKSHOP ON MODELING AND SIMULATION OF SOFTWARE-INTENSIVE SYSTEMS (MSSIS),"2021,0000",5,18,3,23,4,7,"0,2174","0,4286","1,3333","0,2500"
PROCEEDINGS OF THE WORKSHOP ON MODELING AND SIMULATION OF SOFTWARE-INTENSIVE SYSTEMS (MSSIS),"2022,0000",4,12,2,16,4,6,"0,2500","0,3333","2,0000","0,0000"
PROCEEDINGS OF THE WORKSHOP ON MODELING AND SIMULATION OF SOFTWARE-INTENSIVE SYSTEMS (MSSIS),"2023,0000",6,13,1,19,5,6,"0,3158","0,1667","1,0000","1,0000"
PROCEEDINGS OF THE WORKSHOP ON MODELING AND SIMULATION OF SOFTWARE-INTENSIVE SYSTEMS (MSSIS),"2024,0000",8,29,2,40,7,9,"0,2000","0,2222","1,0000","0,8571"
PROCEEDINGS OF THE WORKSHOP ON MODELING AND SIMULATION OF SOFTWARE-INTENSIVE SYSTEMS (MSSIS),"2025,0000",2,22,2,24,6,8,"0,0833","0,2500","1,0000","0,0000"
PROCEEDINGS OF THE WORKSHOP ON MULTISENSORY EXPERIENCES (SENSORYX),"2021,0000",6,12,2,23,4,6,"0,2609","0,3333","1,5000","0,7500"
PROCEEDINGS OF THE WORKSHOP ON MULTISENSORY EXPERIENCES (SENSORYX),"2022,0000",8,14,3,25,3,6,"0,3200","0,5000","2,0000","0,6667"
PROCEEDINGS OF THE WORKSHOP ON OPEN SCIENCE PRACTICES FOR SOFTWARE ENGINEERING (OPENSCIENSE),"2021,0000",7,22,1,32,9,10,"0,2188","0,1000","3,0000","0,4444"
PROCEEDINGS OF THE WORKSHOP ON OPEN SCIENCE PRACTICES FOR SOFTWARE ENGINEERING (OPENSCIENSE),"2023,0000",4,5,2,9,1,3,"0,4444","0,6667","2,0000","0,0000"
PROCEEDINGS OF THE WORKSHOP ON OPERATING SYSTEMS (WSO),"2008,0000",5,47,3,53,16,19,"0,0943","0,1579","1,3333","0,0625"
PROCEEDINGS OF THE WORKSHOP ON OPERATING SYSTEMS (WSO),"2009,0000",0,39,0,39,16,16,"0,0000","0,0000",,"0,0000"
PROCEEDINGS OF THE WORKSHOP ON OPERATING SYSTEMS (WSO),"2010,0000",1,17,0,18,6,6,"0,0556","0,0000",,"0,1667"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2008,0000",3,37,1,46,11,12,"0,0652","0,0833","1,0000","0,1818"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2009,0000",7,24,2,33,8,10,"0,2121","0,2000","1,0000","0,6250"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2010,0000",9,20,4,34,7,11,"0,2647","0,3636","1,5000","0,4286"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2011,0000",10,35,4,46,9,13,"0,2174","0,3077","1,5000","0,4444"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2012,0000",9,41,3,51,10,13,"0,1765","0,2308","2,0000","0,3000"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2013,0000",4,32,1,42,12,13,"0,0952","0,0769","1,0000","0,2500"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2014,0000",11,82,2,97,24,26,"0,1134","0,0769","1,5000","0,3333"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2015,0000",8,71,1,87,20,21,"0,0920","0,0476","1,0000","0,3500"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2016,0000",3,26,0,32,9,9,"0,0938","0,0000",,"0,3333"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2017,0000",4,14,2,18,2,4,"0,2222","0,5000","2,0000","0,0000"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2018,0000",11,94,3,109,27,30,"0,1009","0,1000","1,0000","0,2963"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2019,0000",7,73,2,85,21,23,"0,0824","0,0870","1,5000","0,1905"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2020,0000",0,2,0,2,1,1,"0,0000","0,0000",,"0,0000"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2022,0000",2,18,1,24,6,7,"0,0833","0,1429","1,0000","0,1667"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2023,0000",5,33,0,38,12,12,"0,1316","0,0000",,"0,4167"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2024,0000",9,29,1,39,7,8,"0,2308","0,1250","1,0000","1,1429"
PROCEEDINGS OF THE WORKSHOP ON PERFORMANCE OF COMPUTER AND COMMUNICATION SYSTEMS (WPERFORMANCE),"2025,0000",4,40,2,47,8,10,"0,0851","0,2000","1,0000","0,2500"
PROCEEDINGS OF THE WORKSHOP ON PRACTICAL APPLICATIONS OF LEARNING ANALYTICS IN EDUCATIONAL INSTITUTIONS IN BRAZIL (WAPLA),"2022,0000",20,36,6,59,5,11,"0,3390","0,5455","2,3333","1,2000"
PROCEEDINGS OF THE WORKSHOP ON PRACTICAL APPLICATIONS OF LEARNING ANALYTICS IN EDUCATIONAL INSTITUTIONS IN BRAZIL (WAPLA),"2023,0000",25,50,5,78,10,15,"0,3205","0,3333","3,2000","0,9000"
"PROCEEDINGS OF THE WORKSHOP ON REGULATION, CONFORMITY ASSESSMENT AND SAFETY CERTIFICATION","2019,0000",5,21,2,27,6,8,"0,1852","0,2500","1,5000","0,3333"
PROCEEDINGS OF THE WORKSHOP ON RESILIENCE ENGINEERING IN COMPUTER SYSTEMS (RECS),"2024,0000",2,16,1,20,3,4,"0,1000","0,2500","2,0000","0,0000"
"PROCEEDINGS OF THE WORKSHOP ON SAFETY, SECURITY, AND PRIVACY IN COMPLEX ARTIFICIAL INTELLIGENCE BASED SYSTEMS (SAFELIFE)","2021,0000",2,8,0,10,3,3,"0,2000","0,0000",,"0,6667"
"PROCEEDINGS OF THE WORKSHOP ON SAFETY, SECURITY, AND PRIVACY IN COMPLEX ARTIFICIAL INTELLIGENCE BASED SYSTEMS (SAFELIFE)","2022,0000",2,0,1,3,0,1,"0,6667","1,0000","2,0000",
"PROCEEDINGS OF THE WORKSHOP ON SAFETY, SECURITY, AND PRIVACY IN COMPLEX ARTIFICIAL INTELLIGENCE BASED SYSTEMS (SAFELIFE)","2023,0000",0,1,0,2,1,1,"0,0000","0,0000",,"0,0000"
"PROCEEDINGS OF THE WORKSHOP ON SECURITY, PRIVACY AND RELIABILITY ON WIRELESS SENSING NETWORKS (WSENSING)","2021,0000",0,12,0,12,4,4,"0,0000","0,0000",,"0,0000"
"PROCEEDINGS OF THE WORKSHOP ON SECURITY, PRIVACY AND RELIABILITY ON WIRELESS SENSING NETWORKS (WSENSING)","2022,0000",1,9,1,10,2,3,"0,1000","0,3333","1,0000","0,0000"
"PROCEEDINGS OF THE WORKSHOP ON SECURITY, PRIVACY AND RELIABILITY ON WIRELESS SENSING NETWORKS (WSENSING)","2023,0000",3,13,0,16,3,3,"0,1875","0,0000",,"1,0000"
"PROCEEDINGS OF THE WORKSHOP ON SLICING THEORY, TECHNOLOGIES, AND APPLICATIONS OF SLICING FOR SOFTWARIZED INFRASTRUCTURES (WSLICE)","2019,0000",4,18,2,22,3,5,"0,1818","0,4000","1,5000","0,3333"
PROCEEDINGS OF THE WORKSHOP ON SOCIO-EMOTIONAL SKILLS AND DIVERSITY IN COMPUTING (MOSAICO),"2025,0000",20,4,8,24,1,9,"0,8333","0,8889","2,5000","0,0000"
PROCEEDINGS OF THE WORKSHOP ON SOFTWARE ENGINEERING FOR FUNCTIONAL PROGRAMMING (SE4FP),"2025,0000",5,19,2,24,8,10,"0,2083","0,2000","1,0000","0,3750"
"PROCEEDINGS OF THE WORKSHOP ON SOFTWARE VISUALIZATION, EVOLUTION AND MAINTENANCE (VEM)","2019,0000",2,18,0,20,4,4,"0,1000","0,0000",,"0,5000"
"PROCEEDINGS OF THE WORKSHOP ON SOFTWARE VISUALIZATION, EVOLUTION AND MAINTENANCE (VEM)","2020,0000",2,17,1,21,4,5,"0,0952","0,2000","1,0000","0,2500"
"PROCEEDINGS OF THE WORKSHOP ON SOFTWARE VISUALIZATION, EVOLUTION AND MAINTENANCE (VEM)","2021,0000",0,19,0,20,7,7,"0,0000","0,0000",,"0,0000"
"PROCEEDINGS OF THE WORKSHOP ON SOFTWARE VISUALIZATION, EVOLUTION AND MAINTENANCE (VEM)","2022,0000",3,37,1,44,10,11,"0,0682","0,0909","1,0000","0,2000"
"PROCEEDINGS OF THE WORKSHOP ON SOFTWARE VISUALIZATION, EVOLUTION AND MAINTENANCE (VEM)","2023,0000",1,6,1,7,2,3,"0,1429","0,3333","1,0000","0,0000"
"PROCEEDINGS OF THE WORKSHOP ON SOFTWARE VISUALIZATION, EVOLUTION AND MAINTENANCE (VEM)","2024,0000",4,31,2,36,10,12,"0,1111","0,1667","1,5000","0,1000"
"PROCEEDINGS OF THE WORKSHOP ON SOFTWARE VISUALIZATION, EVOLUTION AND MAINTENANCE (VEM)","2025,0000",10,27,2,39,7,9,"0,2564","0,2222","1,5000","1,0000"
PROCEEDINGS OF THE WORKSHOP ON SYSTEM-THEORETIC ACCIDENT MODEL AND PROCESSES (STAMP),"2021,0000",4,12,2,16,3,5,"0,2500","0,4000","1,0000","0,6667"
PROCEEDINGS OF THE WORKSHOP ON TRANSFORMATIVE STRATEGIES AND INNOVATION IN EDUCATION (WETIE),"2023,0000",16,31,3,47,11,14,"0,3404","0,2143","2,0000","0,9091"
PROCEEDINGS OF THE WORKSHOP ON TRANSFORMATIVE STRATEGIES AND INNOVATION IN EDUCATION (WETIE),"2024,0000",13,13,6,28,5,11,"0,4643","0,5455","1,6667","0,6000"
PROCEEDINGS OF THE WORKSHOP ON VALIDATION AND VERIFICATION OF FUTURE CYBER-PHYSICAL SYSTEMS (WAFERS),"2021,0000",4,9,1,27,7,8,"0,1481","0,1250","3,0000","0,1429"
PROCEEDINGS OF THE WORKSHOP ON VALIDATION AND VERIFICATION OF FUTURE CYBER-PHYSICAL SYSTEMS (WAFERS),"2022,0000",4,16,0,22,4,4,"0,1818","0,0000",,"1,0000"
PROCEEDINGS OF THE WORKSHOP-SCHOOL ON THEORETICAL COMPUTER SCIENCE (WEIT),"2021,0000",21,19,5,40,7,12,"0,5250","0,4167","2,2000","1,4286"
PROCEEDINGS OF THE WORKSHOP-SCHOOL ON THEORETICAL COMPUTER SCIENCE (WEIT),"2023,0000",17,26,2,44,6,8,"0,3864","0,2500","3,5000","1,6667"
PROCEEDINGS OF THE XR IN GAMES WORKSHOP (XR IN GAMES),"2021,0000",3,9,0,13,2,2,"0,2308","0,0000",,"1,5000"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2016,0000",11,32,3,45,9,12,"0,2444","0,2500","1,6667","0,6667"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2017,0000",4,12,1,18,3,4,"0,2222","0,2500","2,0000","0,6667"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2018,0000",5,25,1,32,10,11,"0,1562","0,0909","1,0000","0,4000"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2019,0000",7,26,3,34,6,9,"0,2059","0,3333","2,0000","0,1667"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2020,0000",4,13,2,18,5,7,"0,2222","0,2857","1,5000","0,2000"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2021,0000",6,6,1,13,3,4,"0,4615","0,2500","2,0000","1,3333"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2022,0000",7,10,3,17,3,6,"0,4118","0,5000","2,0000","0,3333"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2023,0000",23,30,5,56,7,12,"0,4107","0,4167","2,2000","1,7143"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2024,0000",17,58,9,77,12,21,"0,2208","0,4286","1,6667","0,1667"
"PROCEEDINGS OF WORKSHOP ON SOCIAL, HUMAN AND ECONOMIC ASPECTS OF SOFTWARE (WASHES)","2025,0000",25,37,2,66,14,16,"0,3788","0,1250","3,0000","1,3571"
PROCEEDINGS OF WORKSHOP ON SOFTWARE ENGINEERING FOR DIGITAL TWINS (SEDT),"2025,0000",3,8,1,12,2,3,"0,2500","0,3333","2,0000","0,5000"
PROCEEDINGS OF WORKSHOP ON SOFTWARE ENGINEERING FOR GAME DEVELOPMENT (SE4GAMES),"2025,0000",8,13,2,21,5,7,"0,3810","0,2857","1,5000","1,0000"
REVISTA BRASILEIRA DE INFORMáTICA NA EDUCAçãO,"2019,0000",48,56,17,117,19,36,"0,4103","0,4722","2,2941","0,4737"
REVISTA BRASILEIRA DE INFORMáTICA NA EDUCAçãO,"2020,0000",81,101,21,192,31,52,"0,4219","0,4038","2,1429","1,1613"
REVISTA BRASILEIRA DE INFORMáTICA NA EDUCAçãO,"2021,0000",68,73,23,152,26,49,"0,4474","0,4694","2,2174","0,6538"
REVISTA BRASILEIRA DE INFORMáTICA NA EDUCAçãO,"2022,0000",22,46,5,71,14,19,"0,3099","0,2632","1,8000","0,9286"
REVISTA BRASILEIRA DE INFORMáTICA NA EDUCAçãO,"2023,0000",32,57,5,94,13,18,"0,3404","0,2778","2,8000","1,3846"
REVISTA BRASILEIRA DE INFORMáTICA NA EDUCAçãO,"2024,0000",6,18,1,28,5,6,"0,2143","0,1667","2,0000","0,8000"
REVISTA BRASILEIRA DE INFORMáTICA NA EDUCAçãO,"2025,0000",1,1,0,2,1,1,"0,5000","0,0000",,"1,0000"
REVISTA ELECTRóNICA DE INICIACIóN CIENTíFICA EN COMPUTACIóN,"2025,0000",0,8,0,8,2,2,"0,0000","0,0000",,"0,0000"
SBC REVIEWS ON COMPUTER SCIENCE,"2021,0000",0,2,0,2,1,1,"0,0000","0,0000",,"0,0000"
SBC REVIEWS ON COMPUTER SCIENCE,"2022,0000",1,1,0,2,1,1,"0,5000","0,0000",,"1,0000"
SBC REVIEWS ON COMPUTER SCIENCE,"2023,0000",2,2,0,4,1,1,"0,5000","0,0000",,"2,0000"
SBC REVIEWS ON COMPUTER SCIENCE,"2024,0000",2,5,1,7,1,2,"0,2857","0,5000","2,0000","0,0000"
SYMPOSIUM ON INTEGRATED CIRCUITS AND SYSTEMS DESIGN (SBCCI),"2020,0000",16,136,7,160,33,40,"0,1000","0,1750","1,4286","0,1818"
THE PROCEEDINGS OF THE POTIGUAR SCHOOL OF COMPUTING AND ITS APPLICATIONS (EPOCA),"2018,0000",21,43,9,72,11,20,"0,2917","0,4500","1,7778","0,4545"
,,0,0,0,0,314,314,,"0,0000",,"0,0000"
