Event,Ano,Total_Autoras,Total_Autores_Masculinos,Primeiras_Autoras,Total_Autores,Primeiros_Autores_Masculinos,Total_Artigos,Proporcao_Autoras,Proporcao_Primeiras_Autoras,Media_Autoras_Lideranca_Feminina,Media_Autoras_Lideranca_Masculina
PROCEEDINGS OF THE WORKSHOP ON APPLIED COMPUTING IN ELECTRONIC GOVERNMENT,"2024,0000",29,67,5,97,14,19,"0,2990","0,2632","2,4000","1,2143"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2013,0000",9,14,1,24,6,7,"0,3750","0,1429","1,0000","1,3333"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2017,0000",14,13,4,28,5,9,"0,5000","0,4444","1,5000","1,6000"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2018,0000",5,3,2,8,1,3,"0,6250","0,6667","2,5000","0,0000"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2019,0000",6,12,0,18,6,6,"0,3333","0,0000",,"1,0000"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2020,0000",1,1,0,2,1,1,"0,5000","0,0000",,"1,0000"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2021,0000",0,1,0,1,1,1,"0,0000","0,0000",,"0,0000"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2022,0000",15,12,3,27,6,9,"0,5556","0,3333","2,6667","1,1667"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2023,0000",11,24,2,37,7,9,"0,2973","0,2222","1,5000","1,1429"
PROCEEDINGS OF THE WORKSHOP ON ASPECTS OF HUMAN-COMPUTER INTERACTION FOR THE SOCIAL WEB (WAIHCWS),"2024,0000",12,5,3,17,2,5,"0,7059","0,6000","2,3333","2,5000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTATIONAL THINKING AND INCLUSION (WPCI),"2024,0000",14,23,3,42,8,11,"0,3333","0,2727","2,0000","1,0000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTATIONAL VISION (WVC),"2019,0000",19,84,3,107,21,24,"0,1776","0,1250","1,0000","0,7619"
PROCEEDINGS OF THE WORKSHOP ON COMPUTATIONAL VISION (WVC),"2020,0000",26,84,3,113,23,26,"0,2301","0,1154","1,6667","0,9130"
PROCEEDINGS OF THE WORKSHOP ON COMPUTATIONAL VISION (WVC),"2021,0000",19,125,2,149,33,35,"0,1275","0,0571","1,0000","0,5152"
PROCEEDINGS OF THE WORKSHOP ON COMPUTATIONAL VISION (WVC),"2023,0000",24,101,4,131,22,26,"0,1832","0,1538","2,0000","0,7273"
PROCEEDINGS OF THE WORKSHOP ON COMPUTATIONAL VISION (WVC),"2024,0000",44,182,11,238,35,46,"0,1849","0,2391","2,1818","0,5714"
PROCEEDINGS OF THE WORKSHOP ON COMPUTER FORENSICS,"2019,0000",1,5,0,6,2,2,"0,1667","0,0000",,"0,5000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2009,0000",12,41,4,56,11,15,"0,2143","0,2667","1,2500","0,6364"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2010,0000",8,17,0,27,6,6,"0,2963","0,0000",,"1,3333"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2011,0000",13,20,1,34,7,8,"0,3824","0,1250","3,0000","1,4286"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2013,0000",8,12,1,46,7,8,"0,1739","0,1250","2,0000","0,8571"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2014,0000",8,31,4,48,10,14,"0,1667","0,2857","1,2500","0,3000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2015,0000",8,34,2,44,8,10,"0,1818","0,2000","2,0000","0,5000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2016,0000",9,25,1,36,7,8,"0,2500","0,1250","1,0000","1,1429"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2017,0000",0,10,0,10,4,4,"0,0000","0,0000",,"0,0000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2018,0000",15,42,6,60,9,15,"0,2500","0,4000","1,6667","0,5556"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2019,0000",10,33,2,45,8,10,"0,2222","0,2000","2,5000","0,6250"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2020,0000",4,18,1,22,4,5,"0,1818","0,2000","3,0000","0,2500"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2021,0000",9,33,0,42,9,9,"0,2143","0,0000",,"1,0000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2022,0000",15,29,3,46,6,9,"0,3261","0,3333","2,3333","1,3333"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2023,0000",15,64,5,80,13,18,"0,1875","0,2778","1,2000","0,6923"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2024,0000",30,78,2,112,21,23,"0,2679","0,0870","1,0000","1,3333"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING APPLIED TO THE MANAGEMENT OF THE ENVIRONMENT AND NATURAL RESOURCES (WCAMA),"2025,0000",46,136,9,189,30,39,"0,2434","0,2308","2,5556","0,7667"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2010,0000",82,124,26,208,34,60,"0,3942","0,4333","2,1538","0,7647"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2011,0000",122,110,44,242,26,70,"0,5041","0,6286","2,1364","1,0769"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2012,0000",92,57,33,158,16,49,"0,5823","0,6735","2,1515","1,3125"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2013,0000",81,67,30,156,20,50,"0,5192","0,6000","2,0667","0,9500"
